ID_Amostra,Tratamento,PT_g,NFC,MFC_g,NFD,MFD_g,MS_Raiz_gkg,MS_PA_gkg,N_gkg,P_gkg,K_gkg,Ca_gkg,Mg_gkg,S_gkg,pH,Acucar_Total_perc,Acidez_Tit_perc_ac_citrico,Textura_N,Pectina_Total_mg100g,Pectina_Soluvel_mg100g,Solubilidade_mg100g
5321,T4_Trich_Turfa,3275.06,12.78,2810.07,26.71,145.47,7.19,23.88,223.63,38.67,123.54,109.85,23.89,30.7,3.49,10.54,1.08,4.14,220.05,67.08,30.12
5322,T4_Trich_Turfa,3409.91,12.71,2839.67,24.81,139.89,6.67,25.0,223.94,38.28,124.83,111.14,22.36,30.89,3.72,9.86,0.98,4.67,221.2,67.49,29.85
5323,T4_Trich_Turfa,3370.2,13.06,2848.4,22.56,136.4,7.27,24.05,224.02,37.85,124.14,115.38,22.99,28.26,3.66,11.51,0.95,4.91,217.48,64.77,30.58
5324,T4_Trich_Turfa,3584.92,12.54,2811.36,24.96,143.81,6.93,23.31,224.58,37.23,125.48,112.89,22.37,28.62,3.67,10.28,0.92,4.47,219.53,61.06,29.95
5325,T4_Trich_Turfa,3731.04,13.28,2822.42,24.34,147.21,6.94,23.27,224.56,37.94,124.49,112.31,22.33,30.23,3.43,9.9,1.03,4.75,211.1,68.6,32.2
5326,T4_Trich_Turfa,3469.56,12.08,2821.04,26.01,145.53,7.39,24.23,223.92,36.65,123.55,109.73,21.4,30.04,3.56,10.2,1.01,4.93,211.96,63.15,31.34
5327,T4_Trich_Turfa,3324.02,12.94,2884.82,21.26,142.9,6.84,23.67,224.63,38.51,124.28,111.27,22.94,28.82,3.61,11.28,1.03,4.5,216.9,66.89,32.16
5328,T4_Trich_Turfa,3461.12,12.19,2824.66,23.56,146.64,6.88,24.42,225.41,37.65,122.99,110.98,22.58,28.93,3.48,9.99,1.01,4.12,218.74,69.21,31.22
5329,T4_Trich_Turfa,3321.07,12.06,2810.76,25.95,146.43,6.82,23.59,226.1,37.09,124.74,108.87,23.06,30.1,3.6,10.78,1.1,5.0,211.22,67.02,31.48
5330,T4_Trich_Turfa,3358.85,13.13,2822.99,22.38,142.98,7.21,23.47,225.37,37.31,124.63,110.01,23.3,30.09,3.6,10.39,0.99,4.55,222.93,67.83,31.21
5331,T4_Trich_Turfa,3101.81,13.03,2815.57,22.78,144.52,7.15,24.22,224.69,39.55,125.58,110.37,23.6,29.87,3.57,10.61,1.04,4.45,230.29,67.17,32.19
5332,T4_Trich_Turfa,3541.94,12.9,2838.01,23.49,144.31,7.29,24.25,224.14,36.75,122.95,105.78,23.09,29.84,3.51,10.55,1.11,4.32,219.82,71.35,31.73
5333,T4_Trich_Turfa,3508.43,12.19,2834.24,25.77,140.1,6.74,24.67,225.27,37.27,124.48,109.89,21.65,30.12,3.69,10.08,1.07,5.01,220.97,66.58,30.85
5334,T4_Trich_Turfa,3143.24,12.94,2810.6,27.22,147.71,7.34,25.4,223.43,34.05,126.41,111.47,22.19,29.74,3.62,10.71,1.19,4.76,217.88,67.02,33.63
5335,T4_Trich_Turfa,3280.22,12.28,2815.0,24.61,147.56,7.39,24.47,224.7,36.14,123.34,113.37,22.17,29.91,3.7,10.44,0.99,4.84,217.29,66.34,34.42
5336,T4_Trich_Turfa,3382.53,12.86,2820.11,23.95,145.31,6.58,25.18,223.57,37.33,124.99,107.32,23.47,28.53,3.7,9.91,1.02,3.75,212.64,65.22,32.3
5337,T4_Trich_Turfa,3584.46,12.95,2845.01,24.29,151.06,7.55,25.59,224.31,37.48,123.88,109.31,22.37,29.38,3.53,9.76,1.04,4.31,207.54,64.31,31.97
5338,T4_Trich_Turfa,3313.65,12.61,2815.82,25.38,146.17,6.75,25.19,224.58,37.3,124.24,106.24,22.91,29.86,3.59,10.16,0.99,4.43,218.98,65.98,35.41
5339,T4_Trich_Turfa,3186.33,12.33,2845.64,27.96,146.05,6.97,23.67,223.55,36.3,124.51,113.35,23.51,28.89,3.65,9.75,1.0,4.24,216.68,66.73,28.96
5340,T4_Trich_Turfa,3427.87,13.46,2800.82,25.78,148.13,7.24,23.53,223.28,40.04,124.33,108.63,21.9,29.43,3.55,10.15,1.04,4.06,206.57,65.78,31.59
5341,T4_Trich_Turfa,3304.77,12.38,2830.06,25.94,150.13,7.38,25.15,224.57,38.81,126.66,106.78,23.09,30.41,3.56,11.4,1.05,5.06,216.36,65.27,31.17
5342,T4_Trich_Turfa,3532.58,12.77,2841.42,24.58,142.97,7.07,25.46,225.18,39.42,122.53,110.82,22.01,30.43,3.67,9.82,0.93,5.1,221.81,68.36,32.48
5343,T4_Trich_Turfa,3226.55,12.15,2811.99,27.0,150.47,7.25,24.91,224.2,38.05,125.05,109.08,21.63,29.34,3.52,10.64,0.94,4.17,211.59,66.79,31.43
5344,T4_Trich_Turfa,3389.22,11.53,2825.1,24.18,147.42,6.94,24.12,224.68,38.95,124.36,113.11,21.2,28.93,3.69,10.19,0.98,4.93,214.14,67.9,31.58
5345,T4_Trich_Turfa,3551.61,12.57,2801.78,26.87,142.4,7.32,24.05,224.57,39.67,123.89,106.28,23.49,29.51,3.58,9.71,0.99,5.1,208.98,65.61,31.06
5346,T4_Trich_Turfa,3231.34,12.06,2799.64,26.37,143.32,7.61,24.59,223.69,39.23,124.48,109.51,21.57,29.92,3.6,10.13,1.01,4.62,216.28,66.44,32.74
5347,T4_Trich_Turfa,3211.93,13.12,2820.59,25.48,142.23,7.11,24.12,225.49,39.23,125.45,114.21,23.27,30.95,3.58,10.1,1.09,4.24,224.38,63.81,31.78
5348,T4_Trich_Turfa,3417.35,12.98,2788.62,22.83,143.23,7.76,24.85,223.01,38.28,124.77,108.83,21.0,30.35,3.65,10.1,1.08,3.89,219.64,65.76,30.87
5349,T4_Trich_Turfa,3496.43,12.63,2834.93,25.45,148.77,7.06,24.53,225.03,36.81,123.83,108.82,23.33,27.69,3.67,10.65,0.97,4.36,217.95,64.54,32.74
5350,T4_Trich_Turfa,3331.96,13.0,2773.12,25.89,150.95,7.35,24.4,224.42,37.6,124.16,113.85,20.92,30.87,3.4,10.22,0.94,4.32,222.02,63.53,31.61
5351,T4_Trich_Turfa,3219.85,12.74,2836.45,25.8,141.65,6.81,24.32,223.94,36.98,125.41,109.63,22.02,28.4,3.41,9.78,1.02,4.42,216.16,63.89,32.18
5352,T4_Trich_Turfa,3183.74,12.45,2802.08,23.15,146.07,6.97,24.36,226.27,38.63,124.91,107.44,24.21,29.44,3.65,10.09,0.91,4.91,221.61,65.14,33.6
5353,T4_Trich_Turfa,3215.7,12.48,2817.11,24.79,145.85,7.17,23.6,223.44,39.26,123.9,110.64,21.87,28.84,3.72,11.35,0.99,4.75,217.77,65.79,31.77
5354,T4_Trich_Turfa,3071.57,12.47,2837.95,25.94,141.24,7.23,24.24,225.12,35.5,124.61,113.98,21.34,29.54,3.65,9.9,1.09,4.62,225.98,63.86,31.13
5355,T4_Trich_Turfa,3345.46,12.31,2829.14,25.27,146.39,6.9,24.18,223.47,39.68,124.12,107.33,22.73,28.65,3.52,10.07,0.95,4.9,212.0,64.74,32.9
5356,T4_Trich_Turfa,3476.55,12.79,2798.49,25.7,148.16,7.35,24.17,224.15,35.66,127.29,111.73,21.78,28.58,3.57,10.24,1.05,4.05,217.71,66.01,31.64
5357,T4_Trich_Turfa,3583.85,12.65,2840.95,24.98,144.05,6.4,25.0,223.95,37.02,123.31,114.51,22.77,28.6,3.64,11.25,0.98,4.73,220.14,65.09,33.31
5358,T4_Trich_Turfa,3189.22,12.52,2832.02,24.29,143.23,7.37,24.77,224.54,37.63,124.57,111.66,22.74,29.11,3.57,10.98,0.84,4.9,220.11,63.45,32.85
5359,T4_Trich_Turfa,3142.1,12.89,2823.83,24.23,143.18,7.15,24.2,226.03,39.64,125.62,111.66,22.74,28.69,3.5,10.53,0.9,5.04,208.85,66.02,31.21
5360,T4_Trich_Turfa,3067.58,12.72,2820.0,23.33,146.78,6.5,24.38,223.08,39.04,125.3,110.12,22.55,30.27,3.58,10.67,1.03,4.34,217.76,68.61,31.87
5361,T4_Trich_Turfa,3259.96,12.49,2834.6,23.19,148.31,6.79,24.48,223.95,36.38,124.93,112.68,23.96,28.86,3.67,9.99,0.95,4.1,217.77,65.66,32.07
5362,T4_Trich_Turfa,3628.48,12.79,2816.57,26.18,146.65,6.85,24.37,223.74,35.74,124.68,113.17,22.63,30.78,3.68,10.62,0.94,4.54,210.19,66.62,33.04
5363,T4_Trich_Turfa,3373.49,12.59,2820.47,24.42,137.94,7.04,24.91,225.7,38.58,124.72,112.09,20.66,28.91,3.52,10.46,0.99,4.83,217.7,66.46,29.34
5364,T4_Trich_Turfa,3350.32,12.69,2785.1,24.58,148.32,6.77,23.29,225.21,41.11,126.12,108.62,22.84,29.07,3.68,9.86,1.12,4.82,215.58,67.38,31.25
5365,T4_Trich_Turfa,3539.6,12.56,2845.52,23.44,144.79,7.14,23.88,225.26,38.77,123.65,111.1,24.06,30.64,3.59,10.27,1.05,4.6,219.01,67.82,31.56
5366,T4_Trich_Turfa,3408.39,12.04,2808.52,25.96,140.92,7.11,23.62,225.14,39.13,123.73,108.5,22.76,28.51,3.5,10.09,1.12,4.86,220.05,63.48,33.52
5367,T4_Trich_Turfa,3358.52,12.58,2831.43,25.1,146.69,7.25,25.93,226.24,37.77,124.59,113.67,24.13,30.25,3.77,10.31,1.04,4.72,217.05,67.12,31.35
5368,T4_Trich_Turfa,3446.3,12.2,2797.5,24.43,150.7,6.82,24.53,224.08,38.53,123.62,109.13,23.04,29.01,3.76,9.98,1.05,5.02,218.81,70.46,31.57
5369,T4_Trich_Turfa,3174.52,12.99,2813.18,23.37,140.15,7.39,23.76,225.13,37.29,123.84,111.49,22.87,30.54,3.77,10.88,1.18,5.1,219.06,65.96,31.37
5370,T4_Trich_Turfa,3389.8,12.45,2827.7,22.67,142.73,7.37,24.1,225.01,38.39,123.36,115.09,22.97,28.19,3.56,9.83,0.93,4.54,216.93,67.2,32.13
5371,T4_Trich_Turfa,3495.55,12.82,2798.71,24.11,149.43,6.96,24.02,224.6,38.88,123.96,110.01,22.96,27.7,3.57,10.17,1.07,4.79,224.2,68.77,31.28
5372,T4_Trich_Turfa,3195.98,12.6,2847.42,24.64,143.48,7.21,24.63,223.42,38.05,124.56,106.79,21.67,26.76,3.6,9.96,1.02,4.55,218.79,66.91,30.5
5373,T4_Trich_Turfa,3262.82,11.67,2813.31,24.77,141.48,6.91,25.12,225.34,38.0,125.28,108.83,22.88,27.8,3.58,10.21,1.02,4.25,216.82,66.37,30.25
5374,T4_Trich_Turfa,3184.95,11.94,2815.88,22.1,144.3,7.48,24.16,225.16,38.59,122.75,110.15,22.76,28.29,3.68,10.54,1.03,4.57,208.86,70.19,29.92
5375,T4_Trich_Turfa,3181.51,12.56,2840.63,26.55,143.57,7.31,24.16,224.68,38.36,125.29,109.38,22.24,29.08,3.67,10.89,1.05,4.26,220.35,61.77,33.39
5376,T4_Trich_Turfa,3322.88,12.39,2852.21,24.31,140.19,7.13,24.57,225.62,36.53,124.3,110.27,24.81,29.84,3.4,11.05,0.95,4.44,216.47,65.43,30.7
5377,T4_Trich_Turfa,3466.13,12.28,2819.11,26.14,148.85,6.92,23.61,224.92,37.0,125.79,112.37,23.07,29.27,3.64,9.8,1.0,4.29,209.7,63.39,27.92
5378,T4_Trich_Turfa,3433.79,12.37,2802.8,27.06,142.61,6.71,24.51,223.59,39.92,125.14,107.68,22.94,30.0,3.64,10.79,0.97,4.78,212.33,68.62,33.62
5379,T4_Trich_Turfa,3537.95,12.93,2806.58,26.17,142.42,7.31,23.96,224.58,37.63,122.66,110.87,22.15,28.55,3.62,10.39,0.99,4.25,221.66,64.76,33.01
5380,T4_Trich_Turfa,3314.52,12.66,2845.26,23.74,139.96,7.15,24.2,224.67,37.92,126.54,115.15,22.85,28.96,3.57,9.91,0.96,4.62,220.3,65.27,33.25
5381,T4_Trich_Turfa,3372.58,12.3,2843.96,23.61,144.87,7.73,24.38,224.39,36.84,124.69,109.39,23.28,30.28,3.51,11.04,0.94,4.59,213.68,64.4,31.6
5382,T4_Trich_Turfa,3529.61,12.56,2819.91,25.9,149.81,6.91,23.97,224.18,37.76,123.65,107.07,20.73,29.7,3.74,10.92,0.91,3.92,219.36,66.74,32.22
5383,T4_Trich_Turfa,3391.11,12.55,2816.26,30.44,141.99,7.01,23.79,224.25,40.16,123.39,114.52,21.91,29.07,3.64,8.68,0.98,4.4,220.01,72.45,32.86
5384,T4_Trich_Turfa,3410.18,12.2,2839.66,23.15,147.51,6.92,25.07,224.89,37.86,124.97,108.72,22.4,28.02,3.55,9.59,0.94,4.74,217.75,66.09,32.63
5385,T4_Trich_Turfa,3354.54,12.63,2814.56,25.98,143.56,7.35,25.44,223.63,40.54,123.05,116.08,23.84,29.94,3.55,10.02,1.09,4.78,226.74,66.47,29.46
5386,T4_Trich_Turfa,3203.05,12.49,2805.76,24.48,140.32,6.84,23.26,223.97,36.91,124.25,115.13,22.37,29.08,3.57,11.05,0.97,4.65,216.36,65.51,32.02
5387,T4_Trich_Turfa,3262.07,11.87,2819.91,25.6,141.15,6.78,23.96,225.43,40.18,124.76,116.76,24.08,29.3,3.5,10.51,1.03,5.16,222.28,68.41,31.39
5388,T4_Trich_Turfa,3353.99,12.37,2830.44,23.31,145.61,7.1,25.08,223.81,37.51,123.79,111.19,23.55,30.79,3.61,10.59,0.93,4.56,211.94,66.86,30.92
5389,T4_Trich_Turfa,3445.7,12.31,2830.13,24.38,143.23,7.28,23.88,223.87,35.55,126.39,115.22,21.9,27.5,3.57,9.82,1.04,4.23,217.08,70.52,32.15
5390,T4_Trich_Turfa,3476.32,12.19,2820.39,25.15,149.65,6.96,24.78,223.56,35.23,124.48,110.15,22.23,28.9,3.59,9.8,1.08,4.31,216.57,65.47,32.36
5391,T4_Trich_Turfa,3478.69,12.19,2815.2,26.54,142.42,7.59,24.28,224.23,39.57,123.39,112.33,23.36,29.25,3.58,10.77,1.04,4.3,212.87,67.65,34.02
5392,T4_Trich_Turfa,3471.96,12.78,2806.37,27.48,141.74,7.53,24.29,224.13,39.96,124.31,110.88,22.1,28.12,3.44,9.98,0.89,4.35,209.32,64.56,31.71
5393,T4_Trich_Turfa,3213.71,12.57,2820.73,26.85,145.16,6.91,24.24,224.6,38.22,124.91,107.46,22.56,29.29,3.64,9.8,1.07,4.31,219.59,63.72,29.41
5394,T4_Trich_Turfa,3421.72,12.44,2817.82,23.73,143.22,6.51,24.05,224.56,38.21,125.58,109.99,22.82,28.0,3.69,9.75,1.09,4.86,220.35,66.74,33.02
5395,T4_Trich_Turfa,3467.95,12.89,2817.87,26.85,145.41,7.28,23.69,224.07,37.28,124.51,112.78,21.27,30.66,3.51,10.77,1.02,4.47,216.33,66.86,32.56
5396,T4_Trich_Turfa,3225.86,12.35,2813.57,23.48,144.19,6.62,24.65,224.09,38.4,124.61,109.95,22.27,29.43,3.7,10.11,0.91,4.39,210.83,68.28,34.18
5397,T4_Trich_Turfa,3366.35,12.78,2811.79,26.52,141.19,7.34,24.31,225.16,38.91,125.24,110.87,22.61,29.58,3.83,10.26,1.01,4.99,223.56,67.63,31.56
5398,T4_Trich_Turfa,3478.77,12.69,2813.52,22.29,148.95,7.04,25.86,224.0,37.76,125.26,110.74,23.71,29.22,3.59,10.87,1.03,4.39,214.66,64.5,31.86
5399,T4_Trich_Turfa,3046.45,12.62,2829.59,23.91,145.95,7.35,24.12,223.65,37.24,125.99,113.38,22.85,28.83,3.64,10.2,1.03,4.9,217.93,64.69,33.05
5400,T4_Trich_Turfa,3158.16,13.1,2828.57,25.56,145.7,6.99,24.12,225.14,38.14,123.76,112.26,22.67,29.45,3.69,10.72,1.1,3.99,225.54,62.51,30.69
5401,T4_Trich_Turfa,3391.21,12.29,2828.62,27.18,141.24,7.46,25.23,224.35,38.41,126.14,110.56,24.58,29.02,3.54,10.95,0.94,4.34,223.83,67.53,31.97
5402,T4_Trich_Turfa,3447.79,12.52,2821.9,24.24,142.23,7.1,23.99,223.67,38.2,126.05,112.12,23.12,29.12,3.69,10.72,0.92,5.03,225.86,64.94,30.48
5403,T4_Trich_Turfa,3564.56,12.86,2834.66,23.72,142.16,7.09,25.18,225.19,37.9,126.76,110.74,22.83,29.49,3.59,10.4,0.87,4.22,214.55,66.18,33.31
5404,T4_Trich_Turfa,3289.28,12.32,2807.92,23.1,145.65,7.46,24.25,224.58,38.95,125.46,115.32,22.45,29.92,3.77,9.11,1.05,4.07,221.84,66.01,35.31
5405,T4_Trich_Turfa,3271.41,12.98,2816.58,23.58,143.21,7.1,23.88,225.36,38.09,123.93,113.41,22.54,29.18,3.69,11.1,1.08,4.74,214.31,65.39,31.85
5406,T4_Trich_Turfa,3121.3,12.32,2826.84,25.59,146.75,7.31,24.44,224.59,37.74,123.66,114.28,23.28,29.56,3.37,10.18,1.09,5.07,218.92,64.5,31.78
5407,T4_Trich_Turfa,3665.1,13.39,2799.24,23.88,146.43,6.81,23.35,224.23,38.36,124.91,109.97,22.08,30.43,3.63,10.3,0.96,4.32,204.86,65.61,31.33
5408,T4_Trich_Turfa,3487.43,12.62,2798.61,27.18,143.91,7.04,23.92,223.27,38.4,124.76,115.24,22.38,28.76,3.63,10.13,0.99,4.1,223.85,65.54,31.5
5409,T4_Trich_Turfa,3295.32,12.56,2813.4,28.63,146.11,7.06,23.4,224.79,37.87,122.81,110.22,23.58,29.66,3.74,9.63,0.99,5.12,223.56,65.47,32.33
5410,T4_Trich_Turfa,3122.09,12.75,2836.15,22.08,143.33,6.78,24.69,225.06,35.6,126.58,107.94,23.33,30.08,3.66,10.58,1.08,4.55,208.64,65.24,34.06
5411,T4_Trich_Turfa,3295.68,13.13,2826.59,24.81,144.14,7.28,24.07,225.31,38.61,123.69,114.09,22.89,30.68,3.47,10.72,1.05,4.4,212.71,68.56,32.53
5412,T4_Trich_Turfa,3310.93,12.67,2826.26,25.94,147.07,6.97,25.47,225.32,37.59,121.98,109.54,23.76,28.89,3.51,9.25,0.9,5.16,221.54,66.57,30.43
5413,T4_Trich_Turfa,3298.72,12.89,2828.73,26.11,143.44,7.25,24.35,225.21,37.52,122.58,110.31,22.76,30.32,3.61,10.62,1.06,4.39,213.5,67.33,30.56
5414,T4_Trich_Turfa,3460.18,12.21,2805.75,24.36,140.22,6.51,23.95,225.18,38.01,124.2,114.03,23.81,29.76,3.51,9.81,0.98,4.54,224.4,66.71,31.27
5415,T4_Trich_Turfa,3592.81,11.97,2835.36,25.15,146.67,6.79,24.62,223.13,38.41,124.5,112.11,21.95,29.7,3.66,10.39,0.91,4.51,218.23,71.67,30.17
5416,T4_Trich_Turfa,3228.93,12.72,2814.33,24.87,145.31,6.75,24.12,224.95,36.13,124.96,114.0,22.64,28.63,3.47,11.42,1.04,4.4,210.02,66.41,31.76
5417,T4_Trich_Turfa,3278.67,12.3,2828.28,22.83,149.86,7.47,24.28,225.15,39.18,123.88,110.68,23.14,30.51,3.51,9.42,1.0,4.49,209.98,65.2,31.09
5418,T4_Trich_Turfa,3335.0,12.72,2815.96,22.75,146.49,6.64,24.82,223.94,38.72,124.01,106.87,22.99,30.48,3.51,11.1,1.05,4.62,210.88,67.67,32.35
5419,T4_Trich_Turfa,3459.83,12.34,2816.79,23.94,145.37,7.49,23.28,224.53,37.97,124.21,107.02,22.85,29.75,3.71,10.4,0.96,4.68,213.68,65.21,33.21
5420,T4_Trich_Turfa,3419.87,12.4,2829.34,25.39,146.32,6.75,24.57,225.1,40.86,123.85,111.19,21.39,29.13,3.58,10.39,1.05,4.2,212.62,66.86,33.79
5421,T4_Trich_Turfa,3516.76,12.79,2830.41,24.71,149.09,7.54,24.47,224.75,37.47,124.82,106.98,22.79,28.96,3.67,11.17,1.02,4.65,212.9,69.14,31.23
5422,T4_Trich_Turfa,3174.34,11.88,2790.76,23.17,145.54,7.45,24.11,225.08,35.43,124.51,111.22,22.88,30.32,3.55,9.2,0.91,4.36,217.96,66.56,29.89
5423,T4_Trich_Turfa,3294.79,13.01,2856.26,24.1,145.74,7.08,24.73,224.73,38.79,125.03,106.18,22.54,30.09,3.45,9.93,1.11,4.82,212.17,64.96,32.98
5424,T4_Trich_Turfa,3319.29,12.16,2855.76,23.5,147.3,7.34,24.7,225.35,37.28,125.63,115.38,22.25,28.86,3.68,11.08,1.05,4.96,218.48,66.45,33.61
5425,T4_Trich_Turfa,3527.59,11.97,2817.75,25.91,144.69,6.37,24.32,225.0,37.97,125.31,114.28,23.47,29.15,3.71,10.84,0.96,4.68,217.33,66.12,30.69
5426,T4_Trich_Turfa,3507.86,12.62,2802.77,24.41,145.05,6.8,23.81,223.62,38.3,124.87,110.83,21.3,28.83,3.61,9.42,1.08,4.66,225.86,65.79,30.85
5427,T4_Trich_Turfa,3538.54,13.11,2826.21,27.73,145.04,7.29,23.16,223.56,40.97,125.85,108.24,22.25,30.53,3.55,10.64,1.01,3.83,221.83,63.69,31.34
5428,T4_Trich_Turfa,3417.0,12.47,2792.34,26.22,148.85,7.42,24.39,223.13,38.19,124.91,116.13,22.79,30.1,3.59,10.22,0.99,4.74,219.84,68.05,31.86
5429,T4_Trich_Turfa,3400.71,12.68,2810.62,21.13,142.14,7.49,24.44,225.48,39.51,126.34,109.28,24.64,28.59,3.55,11.38,0.98,4.33,217.68,69.69,31.74
5430,T4_Trich_Turfa,3418.2,13.1,2828.89,25.99,147.15,7.29,23.58,224.03,36.58,125.85,110.37,23.4,29.2,3.54,10.03,1.01,4.27,219.54,64.37,29.89
5431,T4_Trich_Turfa,3538.81,12.8,2832.83,24.82,143.14,7.03,23.32,225.72,37.46,123.65,114.48,22.58,29.02,3.63,11.46,1.05,4.66,229.12,68.99,33.81
5432,T4_Trich_Turfa,3432.82,13.04,2841.28,24.59,147.41,7.15,24.48,225.1,35.71,124.57,110.63,23.32,29.5,3.61,9.59,0.97,4.9,209.1,66.65,30.44
5433,T4_Trich_Turfa,3180.07,12.46,2809.85,23.68,142.64,7.03,23.96,224.93,37.65,124.73,118.89,23.31,30.12,3.49,9.49,1.06,4.65,228.28,66.97,30.92
5434,T4_Trich_Turfa,3558.43,12.49,2804.45,24.54,143.22,6.44,23.61,224.32,38.38,125.23,113.81,22.43,28.8,3.67,10.44,1.05,4.39,212.91,69.69,29.56
5435,T4_Trich_Turfa,3277.63,13.11,2805.84,25.64,146.87,7.33,23.69,224.51,38.38,126.53,109.89,21.71,29.43,3.54,9.94,0.97,4.57,212.49,61.27,32.08
5436,T4_Trich_Turfa,3035.72,12.91,2823.03,21.88,149.0,6.74,24.63,224.09,36.91,126.31,110.76,21.38,28.76,3.62,10.51,1.04,5.15,211.63,67.41,33.4
5437,T4_Trich_Turfa,3150.18,13.25,2810.37,25.81,145.61,7.42,23.23,224.54,39.16,124.73,113.16,23.65,28.65,3.59,11.0,1.09,3.99,207.74,64.22,33.88
5438,T4_Trich_Turfa,3391.04,12.99,2835.72,23.07,140.57,7.02,24.48,223.13,41.08,121.89,108.51,22.96,27.61,3.52,10.55,1.0,4.35,209.01,62.43,31.66
5439,T4_Trich_Turfa,3240.31,12.92,2813.98,29.26,145.99,7.01,23.33,226.31,39.53,125.24,113.92,23.59,29.69,3.62,10.21,1.05,5.3,221.41,65.95,29.54
5440,T4_Trich_Turfa,3194.17,12.23,2826.47,24.15,143.73,6.85,24.56,225.47,36.99,124.08,114.41,23.21,28.23,3.65,9.63,0.95,5.04,230.67,64.53,32.04
5441,T4_Trich_Turfa,3149.59,12.32,2837.05,25.83,143.95,7.15,24.3,224.52,37.46,123.57,112.87,21.96,29.93,3.58,10.75,1.08,4.06,213.52,67.5,32.8
5442,T4_Trich_Turfa,3505.0,11.81,2805.23,27.79,139.86,6.81,24.28,225.77,38.85,122.87,111.99,24.31,30.41,3.5,9.84,1.05,5.04,220.0,67.43,30.63
5443,T4_Trich_Turfa,3383.56,12.38,2825.0,25.12,146.92,7.21,24.49,224.05,36.95,126.49,115.89,23.54,29.73,3.59,10.55,1.08,4.69,222.57,67.19,33.65
5444,T4_Trich_Turfa,3455.03,12.68,2811.9,27.04,141.9,7.49,24.89,224.17,38.67,125.37,108.72,23.72,29.58,3.76,10.08,1.08,4.59,218.2,69.43,33.86
5445,T4_Trich_Turfa,3249.5,12.84,2847.06,24.02,150.67,7.54,23.6,224.89,41.9,123.94,112.82,23.48,30.43,3.65,9.6,1.06,4.27,218.75,67.37,33.17
5446,T4_Trich_Turfa,3665.62,13.12,2776.09,24.34,148.91,7.21,22.89,224.45,36.3,123.58,112.57,23.2,29.82,3.63,10.55,0.96,4.88,220.02,66.7,33.94
5447,T4_Trich_Turfa,3357.52,11.91,2805.74,21.68,144.08,7.34,24.73,225.56,36.11,124.4,110.04,23.0,29.96,3.61,10.0,0.96,5.17,219.62,66.24,33.57
5448,T4_Trich_Turfa,3236.8,12.25,2822.67,23.92,140.8,7.26,23.34,225.25,38.62,122.69,108.85,23.16,27.86,3.6,10.81,1.01,4.28,218.46,63.9,33.42
5449,T4_Trich_Turfa,3727.79,12.48,2799.17,23.63,144.47,7.49,24.22,225.34,40.12,123.86,112.6,21.75,31.27,3.53,9.67,1.13,4.89,224.45,65.55,32.98
5450,T4_Trich_Turfa,3034.05,12.48,2825.63,27.65,142.38,7.61,24.48,224.72,38.82,126.1,112.37,23.34,29.06,3.71,10.06,0.95,4.7,222.18,64.02,31.29
5451,T4_Trich_Turfa,3127.86,11.94,2800.91,27.85,141.85,7.66,23.28,224.7,36.74,127.19,114.84,23.14,28.58,3.72,9.78,0.92,4.51,220.92,67.26,29.93
5452,T4_Trich_Turfa,3234.9,13.02,2806.97,23.35,144.23,7.46,23.81,225.69,37.7,124.59,116.42,21.45,29.88,3.61,10.53,0.86,4.54,220.29,63.08,31.42
5453,T4_Trich_Turfa,3548.19,12.31,2820.2,25.78,143.97,6.98,24.56,223.82,36.16,125.05,116.81,23.75,29.87,3.59,10.34,1.02,4.81,222.15,64.14,30.97
5454,T4_Trich_Turfa,3690.63,12.9,2824.8,26.93,140.22,7.25,24.02,226.59,37.7,123.86,107.55,23.62,28.2,3.58,9.08,0.94,4.24,219.36,67.6,30.12
5455,T4_Trich_Turfa,3496.73,12.51,2849.41,24.72,150.91,7.57,24.27,224.57,38.99,123.55,113.21,22.94,30.37,3.62,11.49,0.9,4.05,224.37,65.28,31.26
5456,T4_Trich_Turfa,3410.37,12.58,2807.0,25.3,140.26,7.55,24.35,225.02,37.47,125.27,114.41,22.94,28.23,3.47,9.94,1.04,4.01,228.19,68.13,33.06
5457,T4_Trich_Turfa,3459.76,12.82,2806.56,27.94,148.33,7.11,23.81,225.66,41.72,122.66,109.36,23.26,30.1,3.72,9.62,1.05,3.84,213.99,65.19,29.98
5458,T4_Trich_Turfa,3104.38,13.07,2826.12,28.29,145.51,6.81,25.36,223.77,38.39,123.98,114.03,23.21,29.67,3.57,11.02,1.12,5.14,218.52,68.07,32.85
5459,T4_Trich_Turfa,3428.34,12.82,2799.41,25.34,148.48,7.01,25.04,223.97,37.39,126.96,114.22,22.83,31.26,3.67,9.56,0.93,4.42,217.31,62.79,32.84
5460,T4_Trich_Turfa,3276.51,12.24,2836.42,24.42,148.11,7.47,24.85,223.87,37.7,123.62,110.49,24.36,29.25,3.51,9.65,1.0,5.03,214.24,68.6,30.05
5461,T4_Trich_Turfa,3315.69,13.27,2801.85,26.41,145.06,7.38,24.28,223.48,39.87,123.71,111.52,23.19,28.26,3.43,10.31,0.98,4.56,227.35,68.82,28.06
5462,T4_Trich_Turfa,3514.85,12.36,2813.69,24.6,144.17,7.17,23.09,223.12,36.72,124.38,106.72,23.08,29.03,3.49,10.56,0.98,4.24,229.58,64.65,29.59
